
 RUN  v3.1.4 /private/tmp/viborm-rint
   ✓ PGlite Driver > PGlite batch-only nested write behavior > delete and deleteMany keep child mutations parent-correlated  454ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > to-many upsert creates and updates the current parent's child  453ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > to-one upsert creates and updates the current target  454ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > to-one nested update modifies the connected author  451ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > to-one disconnect true nulls the foreign key, both rows survive  458ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > to-one delete true deletes the related row  442ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > to-one delete true (FK-holder side) nulls the FK then deletes the author  444ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > inverse-side to-one upsert: absent creates, found updates, witness survives  460ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > explicit join rows work as a practical many-to-many case  447ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > unsupported nested create keys reject before parent mutation  439ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > nested child failures roll back parent and prior children  447ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > to-many updates cannot target another parent's child  454ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > non-nullable child foreign keys reject disconnect atomically  451ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > nested create propagates foreign keys through mapped columns  446ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > nested create derives mapped foreign keys for createMany and connect  449ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > set keeping all required-FK children is a no-op and succeeds  449ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > set on required-FK children rejects only when rows would be orphaned  461ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > set disconnects only nullable-FK children leaving the set  451ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > connect with a list of targets reparents every one of them  441ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > a connect list with one absent target writes nothing  442ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > disconnect with a list nulls every one of them  453ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > a disconnect list naming ANOTHER parent's child nulls nothing  444ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > a create tree's connect list reparents every one of them  463ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > delete with a relation projection > a to-many relation inside `select` comes back, and the row is gone  451ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > delete with a relation projection > a to-one relation inside `select` comes back, and the row is gone  451ms
   ✓ PGlite Driver > PGlite batch-only nested write behavior > delete with a relation projection > the `include` spelling is unaffected  455ms
   ✓ PGlite Driver > PGlite batch-only advanced nested write behavior > connectOrCreate create branch accepts recursive nested writes  450ms
   ✓ PGlite Driver > PGlite batch-only advanced nested write behavior > top-level upsert guards gate nested update branch  446ms

 Test Files  1 passed (1)
      Tests  126 passed (126)
   Start at  12:35:04
   Duration  58.18s (transform 802ms, setup 8ms, collect 1.19s, tests 56.85s, environment 0ms, prepare 25ms)

Vitest resources: 59.82s wall, 1675.0 MiB peak sampled process-group RSS (sampled ceiling 2560 MiB, isolated PGlite provider). Teardown verified.
